,Adenine content(1),Adenine content(2),Adenine content(3),Cytosine content(1),Cytosine content(2),Cytosine content(3),Enthalpy (RNA)1,Enthalpy (RNA)2,Enthalpy (RNA)3,Enthalpy (RNA)_1,Enthalpy (RNA)_2,Enthalpy (RNA)_3,Entropy (RNA)1,Entropy (RNA)2,Entropy (RNA)3,Entropy (RNA)_1,Entropy (RNA)_2,Entropy (RNA)_3,Free energy (RNA)1,Free energy (RNA)2,Free energy (RNA)3,Free energy (RNA)_1,Free energy (RNA)_2,Free energy (RNA)_3,GC content1,GC content2,GC content3,Guanine content1,Guanine content2,Guanine content3,Hydrophilicity (RNA)1,Hydrophilicity (RNA)2,Hydrophilicity (RNA)3,Hydrophilicity (RNA)_1,Hydrophilicity (RNA)_2,Hydrophilicity (RNA)_3,Keto (GT) content1,Keto (GT) content2,Keto (GT) content3,Purine (AG) content1,Purine (AG) content2,Purine (AG) content3,Rise (RNA)1,Rise (RNA)2,Rise (RNA)3,Roll (RNA)1,Roll (RNA)2,Roll (RNA)3,Shift (RNA)1,Shift (RNA)2,Shift (RNA)3,Slide (RNA)1,Slide (RNA)2,Slide (RNA)3,Stacking energy (RNA)1,Stacking energy (RNA)2,Stacking energy (RNA)3,Thymine content1,Thymine content2,Thymine content3,Tilt (RNA)1,Tilt (RNA)2,Tilt (RNA)3,Twist (RNA)1,Twist (RNA)2,Twist (RNA)3
esa-miRn14a/b,0.023,-9.227,0.004,0.041,0.006,0.18,-0.012,-2.576,0.017,-0.802,-0.359,0.124,-1.144,0.001,0.021,-0.034,-1.803,0.008,-0.042,-0.006,-0.012,-0.419,-0.119,-26.017,-0.001,-0.128,-0.002,-0.05,-0.017,2.364,-0.095,-4.823,-1.089,-0.03,-4.744,0.004,-0.074,-0.366,-22.983,-0.005,-0.378,0.007,-0.258,-4.347,0.025,2.721,-0.002,-0.064,-0.004,-0.152,-0.023,-0.137,-0.131,-3.609,-1.673,0.0,0.447,0.034,0.073,0.03,-5.115,-0.008,0.047,0.012,0.073,-0.611
gma-miR1513c,0.097,-15.367,-0.001,0.19,0.001,0.218,-0.045,-0.386,0.129,-0.54,-0.491,0.062,-1.31,-0.002,0.066,0.154,3.424,0.003,0.115,-0.003,0.111,1.049,-0.085,-8.041,0.002,-0.048,-0.001,0.074,0.048,1.443,0.094,-0.57,0.154,-0.044,-2.115,0.006,-0.081,-0.232,-8.298,-0.002,-0.238,0.005,-0.14,-1.991,-0.031,-46.407,-0.002,-0.118,0.004,0.075,-0.047,2.139,-0.007,-1.427,0.589,0.02,-7.338,-0.029,-0.047,-0.374,-22.688,0.007,-0.402,-0.018,-0.224,-4.295
ath-miR854a,-0.064,-12.67,-0.001,0.0,0.0,0.061,-0.211,-0.256,-0.033,-0.302,0.289,0.061,-1.023,0.0,0.089,0.092,1.398,-0.001,0.077,0.003,0.089,0.551,-0.123,-2.259,0.0,0.0,0.0,-0.058,-0.167,-0.021,-0.057,2.477,-1.231,-0.035,-0.507,0.001,-0.123,-0.114,-0.067,-0.001,-0.092,0.003,-0.123,-0.301,0.087,13.073,0.001,0.0,0.0,-0.087,0.294,1.243,0.077,1.966,-1.113,-0.037,1.389,-0.012,-0.065,-0.033,-2.178,0.003,-0.024,0.0,-0.065,-0.435
ppt-miR902a,0.063,-12.313,0.0,0.086,0.01,0.297,0.117,-1.03,-0.108,-0.391,-0.033,0.172,-1.568,-0.003,0.047,-0.015,-6.76,0.012,-0.044,-0.007,0.016,-0.963,-0.067,-25.944,-0.001,-0.042,0.005,0.108,-0.013,-1.132,-0.091,1.4,0.238,-0.033,-4.166,0.03,0.008,-0.21,-4.585,0.006,-0.2,-0.008,-0.133,-1.374,-0.036,16.093,0.0,-0.045,-0.002,0.027,-0.018,-1.071,0.145,1.429,0.577,0.036,2.82,0.003,0.179,0.091,7.541,-0.005,0.169,-0.013,0.054,1.279
ptc-miR475,0.147,-0.747,-0.002,0.166,0.003,0.18,0.036,-1.786,-0.065,-0.133,-1.093,0.172,0.866,0.0,0.075,0.237,4.773,0.005,0.216,-0.003,0.186,1.451,-0.012,-19.64,-0.002,0.009,0.001,-0.018,-0.079,-0.688,-0.219,-0.684,0.234,-0.012,-3.046,-0.024,-0.164,-0.14,-12.048,0.002,-0.148,-0.019,-0.091,-1.978,-0.071,-21.174,-0.002,-0.05,0.006,0.012,-0.096,0.084,-0.013,3.269,0.504,-0.071,-3.747,-0.036,-0.099,-0.217,-7.865,0.008,-0.244,-0.023,-0.115,-1.744
sly-miR164a-3p,0.028,5.853,0.001,0.391,0.003,0.091,0.316,-0.89,0.187,-0.119,0.398,0.283,1.668,-0.001,0.111,0.336,9.621,0.002,0.246,0.012,0.263,2.363,0.029,-8.383,-0.003,0.023,0.0,0.012,0.167,0.278,-0.004,-0.655,-0.409,0.067,-1.343,-0.028,0.023,-0.026,-5.807,-0.002,-0.055,-0.014,0.0,-0.786,0.031,5.85,-0.002,-0.152,0.003,0.04,-0.059,-0.696,-0.168,-2.796,-1.904,-0.056,0.615,-0.029,0.043,-0.098,-9.885,0.004,-0.063,-0.011,-0.118,-1.299
gma-miR4382,0.075,-8.275,-0.002,0.05,0.003,0.145,0.14,0.141,0.192,-0.155,-0.085,0.127,-0.996,-0.003,0.14,0.054,5.337,0.003,0.017,0.001,0.06,0.914,-0.237,-3.304,-0.001,-0.053,-0.006,-0.218,-0.111,-1.014,-0.056,-2.074,-1.354,-0.189,-0.713,-0.001,-0.095,-0.092,-2.246,-0.01,-0.088,0.004,-0.116,-0.352,-0.194,-7.967,-0.003,-0.056,-0.005,-0.178,-0.217,0.693,-0.262,-3.056,-0.941,-0.042,-0.907,-0.03,-0.133,-0.035,-12.061,-0.004,-0.029,-0.011,-0.033,-1.577
sly-miR398a,0.036,0.608,0.0,0.352,0.006,0.233,0.211,-1.541,-0.022,-0.997,0.678,0.18,0.564,-0.001,0.119,0.14,-1.798,0.009,0.122,0.0,0.155,0.183,-0.018,9.588,-0.001,0.149,0.0,-0.053,-0.058,-0.939,-0.032,0.673,-1.015,0.058,1.894,0.032,-0.126,0.149,9.282,0.001,0.146,0.014,0.12,1.696,-0.019,17.597,-0.001,-0.077,-0.006,-0.136,-0.127,0.753,-0.082,3.269,-2.02,-0.019,2.984,0.024,-0.046,0.203,7.751,-0.01,0.204,0.024,0.198,1.742
sly-miR171c,0.222,-12.953,-0.002,0.061,0.004,0.177,0.194,-1.19,-0.215,-1.274,0.03,0.161,-1.462,-0.002,0.194,0.133,-4.67,0.006,0.079,0.001,0.208,-0.202,0.067,-10.577,0.003,-0.047,-0.003,-0.146,0.111,-2.186,-0.04,-0.605,-0.457,-0.149,-1.629,-0.027,-0.018,-0.11,-8.468,0.0,-0.047,-0.028,-0.058,-1.508,0.071,-15.04,0.002,-0.05,0.001,-0.146,0.009,-1.028,0.034,2.084,-0.841,-0.062,-1.913,-0.04,-0.093,0.023,-3.083,0.005,0.008,-0.027,-0.006,-0.268
ath-miR866,0.478,-6.366,0.004,0.148,0.016,0.549,0.228,-0.755,0.115,-0.395,-0.316,0.302,-0.246,0.002,0.093,0.207,9.66,0.025,0.147,0.014,0.201,2.008,0.239,-26.463,-0.001,-0.02,0.008,0.176,0.065,-0.718,-0.433,-1.98,-0.401,0.085,-3.822,-0.024,-0.02,-0.118,-16.734,0.014,-0.111,-0.017,-0.023,-2.508,0.031,-2.188,-0.004,0.042,0.004,-0.118,0.194,-0.985,-0.219,0.361,-0.082,0.028,-0.892,-0.037,-0.021,-0.153,-16.529,0.008,-0.111,-0.025,-0.087,-2.687
pvu-miR2119,0.259,4.017,-0.002,0.0,0.005,0.204,0.21,1.507,-0.103,-0.096,0.785,0.222,1.489,0.003,0.278,0.292,7.828,0.007,0.227,0.02,0.222,2.019,-0.124,-13.437,0.0,0.0,0.001,0.052,-0.19,0.281,-0.087,-1.216,-1.052,0.118,-1.933,-0.021,-0.059,-0.141,-10.366,0.002,-0.11,-0.012,-0.118,-1.765,-0.181,-33.131,0.001,0.0,0.0,-0.056,-0.139,-3.626,-0.003,-2.413,0.38,0.063,-5.623,-0.038,-0.25,-0.415,-23.474,-0.001,-0.344,-0.053,-0.25,-4.518
sly-miR6027,0.166,-2.408,0.0,0.075,0.001,0.114,0.022,-1.74,0.007,-0.355,-0.03,0.033,-0.074,-0.003,0.086,0.092,0.865,0.003,0.048,-0.001,0.061,0.445,-0.237,-11.523,-0.003,0.023,-0.004,-0.023,-0.143,-2.075,-0.11,-0.558,-1.219,-0.187,-1.441,-0.007,-0.076,-0.038,7.214,-0.008,-0.03,-0.002,-0.047,0.852,-0.204,-3.575,0.003,-0.034,-0.002,0.105,-0.232,-0.185,0.007,1.387,-1.134,-0.115,-0.484,-0.021,-0.08,-0.059,3.56,-0.006,-0.03,-0.004,-0.05,0.239
ppt-miR1031a,0.18,-8.382,-0.002,0.064,0.013,0.404,0.053,0.071,-0.147,-1.119,-0.123,0.127,-1.109,0.001,0.169,0.052,-3.04,0.019,0.005,0.003,0.053,-0.207,0.003,3.964,0.0,-0.044,0.004,0.175,-0.056,0.207,0.048,3.246,0.415,-0.032,0.207,-0.009,0.012,-0.121,1.869,0.004,-0.089,0.002,-0.111,-0.129,-0.037,1.624,-0.001,-0.046,-0.007,-0.065,-0.062,-0.536,-0.018,1.533,-0.291,-0.053,0.532,-0.029,-0.046,0.009,-3.648,-0.011,0.04,-0.015,0.0,-0.379
osa-miR1875,0.215,-10.34,-0.001,0.05,0.001,0.045,0.095,-0.647,-0.111,-0.343,0.006,0.062,-1.177,-0.001,0.14,0.082,-0.518,0.003,0.029,0.003,0.066,0.231,-0.216,-0.511,-0.001,0.004,-0.002,-0.095,0.004,0.202,-0.018,0.693,0.021,-0.078,-0.181,0.005,0.004,-0.042,6.253,-0.003,-0.033,0.011,-0.074,0.783,-0.234,-10.391,0.0,0.055,-0.001,-0.125,-0.014,-0.997,0.001,-0.123,0.285,-0.068,-1.104,-0.019,-0.045,0.004,4.156,-0.002,0.012,-0.008,-0.027,0.614
rsa-miR841b-3p,0.285,2.255,0.005,0.064,0.007,0.166,0.152,-1.238,-0.145,-0.607,-0.633,0.155,1.034,0.0,0.191,0.311,5.059,0.011,0.238,0.006,0.247,1.754,0.009,4.633,0.001,-0.044,0.0,-0.181,-0.006,-0.635,-0.004,0.626,0.52,-0.058,1.214,0.009,0.035,0.256,15.38,0.002,0.186,0.02,0.149,3.018,-0.087,-1.375,-0.001,-0.046,0.0,-0.146,-0.062,0.665,0.105,0.687,0.392,0.04,0.475,0.037,0.037,0.21,21.555,0.003,0.171,0.025,0.158,3.535
vvi-miR3623-5p,0.087,-1.29,-0.002,0.125,0.005,0.197,0.17,-1.396,-0.078,-0.408,-0.008,0.145,-0.122,-0.002,0.06,-0.012,-1.671,0.006,-0.01,-0.001,-0.005,-0.267,-0.184,-13.957,-0.001,-0.145,-0.005,-0.111,-0.032,-0.185,0.033,1.129,-0.795,-0.005,-2.62,0.017,-0.042,-0.293,-6.294,-0.008,-0.234,-0.006,-0.218,-1.797,-0.042,-5.83,-0.001,-0.111,-0.004,-0.119,-0.033,-1.906,-0.007,-0.028,1.445,0.05,-0.694,0.006,-0.044,0.068,-0.574,-0.007,0.055,-0.02,0.1,-0.002
sit-novel-15,0.066,-0.575,-0.001,0.169,0.002,0.166,0.083,-1.489,-0.048,-0.504,-0.717,0.094,0.682,-0.001,0.233,0.191,4.443,0.003,0.179,-0.003,0.186,1.298,-0.012,-4.908,0.0,-0.073,-0.003,-0.202,-0.246,-1.825,-0.038,-1.038,2.793,-0.012,-1.151,-0.011,-0.143,-0.108,-5.557,-0.005,-0.115,-0.019,-0.018,-1.235,0.046,-1.311,-0.001,-0.108,0.001,-0.214,-0.155,-2.204,-0.033,2.167,1.636,-0.053,-0.267,-0.022,-0.152,0.016,-0.965,0.003,0.025,-0.022,0.05,-0.143
ppt-miR1023c,0.045,0.247,0.001,0.2,0.004,0.07,0.24,-0.614,-0.055,-0.53,0.177,0.21,0.53,0.001,0.04,0.196,2.851,0.004,0.132,0.011,0.185,1.038,0.0,-11.856,-0.001,-0.211,-0.002,-0.021,-0.116,-0.171,0.046,-1.358,1.534,-0.2,-2.608,-0.005,-0.011,-0.347,-11.208,-0.002,-0.266,-0.028,-0.274,-2.745,0.0,-18.636,-0.002,-0.333,-0.003,-0.022,-0.239,-1.254,0.129,-2.85,1.123,-0.333,-3.973,-0.024,-0.011,-0.522,-22.491,-0.004,-0.403,-0.054,-0.394,-4.772
bdi-miR172,0.008,-5.712,0.001,0.155,0.002,0.158,0.147,-1.694,-0.086,-0.449,0.0,0.155,-0.501,-0.003,0.061,0.05,-2.353,0.002,0.021,-0.004,0.053,-0.185,-0.114,-8.764,-0.001,0.053,-0.004,-0.056,0.044,-1.479,-0.124,0.991,-0.339,-0.003,-1.36,0.02,-0.035,-0.1,-4.295,-0.006,-0.08,-0.009,-0.056,-1.007,0.056,4.766,-0.001,0.043,0.0,-0.118,-0.053,2.459,0.045,0.241,-0.065,-0.062,1.256,0.021,-0.025,0.224,4.235,0.002,0.197,0.017,0.176,1.285
bna-miR1140,0.233,0.374,-0.002,0.147,0.004,0.194,0.091,1.119,0.004,-0.673,-1.204,0.061,1.083,0.001,0.191,0.347,12.042,0.008,0.277,0.012,0.31,2.774,-0.158,-17.536,0.0,-0.289,-0.009,-0.333,0.041,0.551,-0.088,-7.056,-2.184,-0.047,-3.395,0.006,0.058,-0.314,-17.816,-0.016,-0.296,0.005,-0.225,-3.421,-0.226,-2.772,-0.004,-0.269,-0.009,-0.402,0.074,-0.412,0.03,-2.622,-2.85,-0.05,-1.577,-0.003,0.028,-0.424,-18.018,-0.017,-0.339,0.0,-0.35,-3.788
pas-miR32,0.093,-15.143,-0.002,0.0,0.002,0.093,0.111,0.251,-0.104,-0.222,-0.027,0.102,-1.717,0.0,0.062,0.057,-0.538,0.003,0.021,0.002,0.049,0.141,-0.098,-7.383,0.0,0.0,0.0,0.085,-0.294,0.33,0.041,-1.412,-1.53,-0.01,-1.734,0.012,-0.275,-0.278,-6.358,0.0,-0.23,0.002,-0.225,-1.683,0.021,-3.69,-0.001,0.0,0.0,0.076,-0.188,1.233,-0.024,-2.583,0.7,-0.01,-1.196,0.009,-0.201,-0.227,-9.422,-0.001,-0.188,-0.004,-0.142,-2.068
pla-miR65,0.108,-5.857,0.004,0.058,0.001,0.127,0.194,-2.386,0.068,-1.003,1.018,0.058,-0.203,-0.001,0.316,0.184,1.535,0.001,0.151,-0.007,0.18,0.715,0.026,-10.991,-0.006,-0.05,-0.001,-0.012,0.155,3.549,-0.031,-1.275,0.729,-0.088,-1.458,0.003,0.222,0.052,-2.617,-0.002,-0.001,0.018,0.023,-0.185,0.028,-4.894,-0.004,-0.034,0.0,-0.071,0.229,2.062,-0.036,-0.495,0.626,-0.074,-0.698,-0.018,0.176,0.027,-6.383,0.001,-0.031,0.002,-0.019,-0.682
ppt-miR414,0.075,-11.384,0.002,-0.003,0.003,0.055,-0.055,-1.127,-0.016,-0.407,0.045,-0.116,-1.69,-0.001,0.042,-0.007,-1.937,0.006,-0.019,-0.003,-0.003,-0.237,-0.015,-14.968,-0.002,-0.225,-0.006,-0.085,-0.073,-0.146,-0.023,-0.52,1.83,-0.088,-2.859,-0.01,-0.012,-0.255,-7.697,-0.008,-0.206,-0.026,-0.17,-1.868,0.043,2.665,-0.001,-0.006,-0.005,-0.031,0.201,0.272,0.107,-2.325,1.543,0.238,0.228,-0.022,-0.012,-0.048,-7.94,-0.008,-0.033,-0.012,0.118,-1.563
cgr-miR164b-3p,0.075,-8.703,0.0,0.219,0.008,0.216,0.075,-0.924,0.021,-1.163,-0.011,0.091,-0.905,0.001,0.108,0.077,-0.072,0.011,0.044,0.005,0.072,0.25,-0.07,11.214,0.002,-0.047,0.001,-0.123,0.006,0.537,0.078,3.43,-0.387,-0.041,1.224,-0.006,-0.053,-0.071,-0.079,0.002,-0.063,0.001,-0.091,-0.298,-0.074,-8.571,-0.001,-0.167,-0.004,-0.266,-0.071,-1.317,-0.002,3.019,-0.959,-0.071,-1.117,0.022,-0.093,0.014,3.971,-0.003,-0.004,0.007,-0.028,0.61
bna-miR397,0.06,-17.561,0.0,0.05,0.001,0.04,0.045,-2.328,-0.042,-1.503,0.02,0.145,-2.163,-0.002,0.025,0.054,-2.271,0.002,0.005,-0.002,0.098,-0.131,-0.126,-2.533,-0.006,0.0,-0.005,-0.111,-0.108,1.456,-0.04,-0.416,0.28,-0.182,-0.569,-0.006,-0.026,-0.053,-4.452,-0.007,-0.044,-0.005,-0.055,-0.774,-0.078,5.255,0.001,0.056,-0.004,-0.061,-0.219,0.963,0.072,0.731,0.934,-0.119,0.986,0.015,-0.028,0.045,0.427,-0.006,0.076,0.003,0.053,0.135
zma-miR393b,0.16,-5.377,0.001,0.225,0.004,0.285,0.21,-0.05,0.064,-0.89,0.619,0.14,-0.066,0.001,0.25,0.195,5.733,0.007,0.127,0.008,0.2,1.316,-0.168,-12.381,0.0,-0.053,-0.006,0.042,0.011,-0.766,-0.064,-0.455,2.157,-0.063,-3.016,-0.01,-0.053,-0.45,-7.537,-0.01,-0.339,-0.029,-0.368,-2.436,-0.111,-32.091,0.0,-0.167,-0.005,0.111,0.011,-0.582,0.031,-1.583,2.183,-0.011,-5.738,-0.034,-0.167,-0.535,-23.827,-0.009,-0.45,-0.038,-0.389,-4.93
ptc-miR1444,0.191,4.019,-0.001,0.136,0.005,0.117,0.33,-0.758,-0.212,-0.475,-0.312,0.167,0.906,-0.001,0.167,0.126,-2.994,0.007,0.105,0.011,0.154,0.063,-0.007,-5.062,-0.003,-0.118,-0.006,-0.124,-0.062,-1.758,-0.07,-0.869,-0.235,-0.176,-0.938,-0.025,-0.059,-0.153,-8.075,-0.008,-0.089,-0.024,-0.137,-1.529,-0.104,3.38,-0.005,-0.028,-0.01,-0.021,-0.253,1.034,-0.028,-0.91,0.178,-0.187,0.655,-0.022,-0.125,0.028,0.804,-0.012,0.0,0.001,-0.028,0.292
bna-miR6030,0.06,-0.809,-0.002,0.25,0.005,0.16,0.025,-2.146,-0.044,-0.06,0.879,0.05,0.603,-0.001,0.04,0.194,1.889,0.008,0.165,0.002,0.195,0.908,-0.005,-8.437,-0.005,-0.263,-0.003,0.0,-0.079,0.426,-0.048,-0.389,0.907,-0.053,-2.158,-0.015,-0.011,-0.283,-6.663,-0.006,-0.232,-0.025,-0.211,-1.826,0.033,-13.989,0.002,-0.333,-0.006,-0.011,-0.083,-1.441,0.048,-0.822,2.895,-0.056,-3.194,-0.026,-0.011,-0.399,-14.572,-0.011,-0.327,-0.039,-0.272,-3.417
osa-miR268,0.06,-5.707,-0.001,0.102,0.004,0.202,0.193,0.284,-0.067,-0.76,0.34,0.1,-0.58,-0.002,0.212,0.081,-0.615,0.005,0.032,0.005,0.06,0.145,-0.032,5.253,-0.001,-0.126,-0.005,-0.158,-0.113,-1.551,0.067,0.905,-0.482,-0.105,0.539,0.028,-0.145,-0.025,1.326,-0.006,-0.039,0.001,-0.079,0.073,0.033,21.624,0.0,-0.133,0.0,0.05,-0.175,-0.471,-0.058,2.622,-1.323,0.056,3.667,0.019,-0.056,0.167,9.814,-0.002,0.206,0.004,0.1,1.981
ath-miR158a,0.225,7.239,0.002,0.25,0.005,0.17,0.127,-1.719,0.02,-0.444,0.425,0.117,1.769,0.001,0.056,0.255,8.472,0.009,0.195,0.01,0.176,1.985,-0.232,-11.451,-0.006,-0.029,-0.002,-0.114,0.075,-0.011,-0.17,0.81,-0.415,0.065,-2.288,0.022,-0.059,-0.282,-16.189,-0.004,-0.232,-0.001,-0.186,-3.194,-0.25,-33.453,-0.005,-0.125,-0.004,-0.104,0.017,-0.765,-0.178,-5.625,-2.608,0.007,-5.936,0.022,0.0,-0.516,-34.434,-0.009,-0.423,-0.004,-0.271,-6.466
osa-miR2106,0.04,-17.199,-0.003,0.19,0.008,0.29,0.09,0.291,0.011,-0.952,-0.703,0.11,-2.345,0.001,0.15,-0.003,-5.08,0.011,-0.051,0.009,0.09,-0.82,-0.116,0.148,0.002,-0.126,-0.004,-0.063,0.042,-1.808,-0.041,-1.982,0.201,0.063,-0.112,-0.016,0.0,-0.086,-5.478,-0.01,-0.085,-0.014,-0.074,-0.933,0.011,21.712,-0.002,-0.028,-0.006,0.039,0.1,-0.837,0.003,1.739,0.407,0.011,3.768,-0.021,0.056,0.186,6.034,-0.011,0.226,-0.01,0.056,1.57
ppt-miR477f,0.391,0.496,-0.002,0.155,0.016,0.468,0.197,-0.403,-0.134,-0.23,-0.251,0.163,0.533,0.001,0.166,0.204,5.337,0.025,0.154,0.008,0.158,1.401,0.023,-8.291,0.0,-0.026,0.008,0.105,0.041,-0.08,-0.06,0.228,-0.163,-0.05,-1.781,0.01,0.009,-0.181,-1.141,0.014,-0.175,0.013,-0.167,-0.707,-0.152,1.128,0.003,0.136,0.0,-0.124,0.071,-0.004,-0.055,1.749,-0.912,-0.093,0.236,0.04,-0.05,-0.001,8.773,0.002,0.003,0.017,-0.059,1.255
ptc-miR1445,0.426,1.121,0.002,0.281,0.013,0.463,0.093,-0.804,0.074,-0.284,0.433,0.167,0.997,0.002,0.056,0.261,7.562,0.023,0.189,0.011,0.17,1.869,0.275,1.386,-0.002,0.049,0.01,0.137,0.098,0.915,-0.07,0.353,0.263,0.0,0.109,0.014,-0.059,0.098,3.563,0.017,0.018,0.018,0.029,0.835,0.104,10.763,0.0,-0.049,0.007,-0.042,0.08,0.159,0.055,0.854,0.166,-0.035,1.951,0.029,0.0,0.281,21.636,0.013,0.177,0.034,0.139,3.926
sly-miR168b-5p,0.222,-6.472,-0.002,0.13,0.006,0.141,0.022,-0.913,-0.126,-1.072,-0.305,0.119,-0.442,-0.002,0.058,0.181,-0.98,0.01,0.136,0.002,0.263,0.421,-0.044,-6.907,0.0,0.009,-0.002,-0.137,-0.105,-0.093,0.079,-2.652,-1.497,-0.208,-0.94,-0.002,-0.088,0.007,-2.121,-0.002,-0.012,0.012,0.056,-0.142,-0.046,26.188,-0.001,0.226,0.001,-0.096,-0.012,0.759,-0.048,-1.44,-0.075,-0.161,4.387,0.009,-0.074,0.343,16.777,0.006,0.281,0.037,0.176,3.62
mmu-miR-novel-8*,0.216,-4.619,0.004,0.116,0.014,0.355,0.144,-1.637,0.165,0.006,0.23,0.26,-0.403,0.0,0.141,0.193,5.501,0.016,0.102,0.005,0.18,1.433,0.117,-0.951,0.001,-0.029,0.013,0.152,0.164,1.402,0.036,2.199,0.295,0.222,-0.253,-0.015,-0.073,-0.021,-2.618,0.016,-0.017,-0.007,0.003,-0.466,0.065,12.321,-0.001,-0.031,0.015,0.025,0.127,-1.27,-0.026,3.022,0.023,0.18,1.732,-0.007,-0.115,-0.018,3.656,0.02,0.01,0.005,-0.077,0.45
mdm-miR1511,0.108,-18.429,-0.003,0.169,0.007,0.205,0.058,-0.524,-0.029,-0.767,0.064,0.039,-2.521,-0.003,0.058,0.002,-4.232,0.011,-0.04,-0.004,0.036,-0.563,-0.108,1.764,0.001,-0.123,-0.001,-0.173,-0.012,0.179,0.077,1.743,-0.136,-0.096,-0.164,0.016,-0.105,-0.099,6.549,0.0,-0.126,0.014,-0.19,0.585,-0.022,-10.416,0.001,-0.189,-0.001,-0.307,-0.031,0.8,-0.002,-0.378,0.184,-0.012,-1.339,-0.01,-0.111,0.106,8.555,0.001,0.019,0.006,0.034,1.617
vvi-miR3640,0.058,-9.509,0.001,0.105,0.008,0.231,0.107,-0.936,0.268,-0.252,0.041,0.182,-0.778,-0.002,0.169,0.259,12.64,0.007,0.146,0.005,0.186,2.543,-0.035,-17.241,0.002,-0.022,0.002,-0.091,0.035,-2.153,0.262,-0.628,2.058,0.0,-3.236,-0.019,-0.108,-0.25,-8.66,0.001,-0.236,-0.024,-0.147,-2.072,-0.036,9.505,-0.002,-0.023,0.004,-0.007,0.055,-1.514,0.05,0.086,1.354,0.2,0.937,0.007,-0.084,-0.237,-4.867,0.002,-0.123,-0.016,-0.164,-1.455
bni-novel-miR52,0.302,-8.643,0.004,-0.031,0.003,0.099,0.056,-2.226,-0.077,-2.466,-0.706,0.056,-0.387,-0.001,0.056,0.248,2.416,0.007,0.183,0.001,0.228,1.175,0.052,-2.065,-0.002,-0.092,-0.001,-0.059,0.059,-0.62,-0.254,-5.075,0.382,0.0,0.08,0.008,-0.02,0.082,-2.926,0.0,0.066,0.003,0.02,-0.006,-0.076,-9.766,0.003,0.153,0.006,0.076,0.188,5.193,0.163,0.007,1.181,0.125,-1.369,-0.007,0.104,-0.037,-1.976,0.009,-0.04,0.023,0.083,-0.452
ppt-miR1059,0.139,-6.223,0.0,0.036,0.014,0.416,0.166,-0.627,-0.021,-0.183,0.107,0.335,-0.318,0.0,0.277,0.172,2.686,0.015,0.108,0.008,0.155,0.984,0.058,-3.429,-0.004,-0.073,0.003,0.155,-0.035,1.543,0.046,1.035,0.1,-0.035,-0.79,0.011,0.044,-0.048,8.34,0.003,-0.074,0.017,-0.07,1.014,0.028,17.824,-0.002,-0.019,-0.003,-0.077,-0.096,2.402,-0.052,-2.641,-1.24,-0.155,2.891,0.016,-0.04,0.085,5.598,-0.002,0.106,0.037,0.031,1.272
sit-miRn19,0.075,-15.204,0.004,0.139,0.005,0.211,-0.025,-1.164,-0.209,-0.612,-0.506,0.169,-1.149,0.0,0.108,0.22,-0.282,0.008,0.169,0.004,0.23,0.725,-0.164,-3.94,-0.005,-0.132,-0.008,-0.105,0.076,-0.447,-0.031,-1.787,2.735,0.012,-1.338,-0.011,-0.029,-0.228,-9.9,-0.015,-0.171,-0.038,-0.211,-2.188,-0.019,-17.413,-0.003,-0.198,-0.006,-0.167,0.012,1.112,-0.015,-8.31,1.466,-0.015,-3.468,0.002,-0.09,-0.382,-22.264,-0.012,-0.31,-0.014,-0.282,-4.472
mmu-miR-novel-15*,0.14,-3.38,0.004,0.128,0.0,0.045,0.178,-3.714,0.098,-2.135,-0.097,0.075,-0.013,-0.002,0.225,0.166,2.509,0.0,0.122,-0.008,0.235,0.877,-0.011,13.89,0.0,0.011,0.0,0.0,0.011,2.507,-0.077,-1.629,-1.133,-0.079,2.022,-0.007,0.105,0.064,0.641,0.0,0.055,0.01,0.0,0.501,0.022,9.79,-0.004,-0.008,0.003,0.061,-0.1,-1.563,-0.007,-1.378,-1.056,-0.083,1.935,0.021,0.056,0.189,5.372,0.005,0.167,0.018,0.064,1.555
ppe-miR3627-3p,0.1,-13.268,-0.001,0.14,0.006,0.275,0.027,-1.676,-0.007,-1.075,-0.17,0.145,-1.556,0.001,0.1,0.026,-3.48,0.009,-0.008,-0.004,0.07,-0.418,0.0,-1.883,0.001,0.011,0.002,0.253,-0.137,0.419,-0.015,-1.105,-0.233,0.047,-0.736,-0.022,-0.116,-0.097,-6.663,0.003,-0.106,-0.014,-0.063,-1.162,0.028,-6.358,-0.001,-0.022,0.004,0.339,-0.144,1.862,-0.03,-1.083,0.154,-0.006,-0.734,-0.016,-0.011,-0.002,-3.456,0.005,-0.016,-0.002,0.0,-0.382
hvu-miR531a,0.05,-24.153,-0.001,0.089,0.004,0.155,0.036,-1.929,-0.018,-4.008,-0.715,0.061,-3.877,0.002,0.019,-0.117,-11.035,0.007,-0.211,0.003,0.011,-1.91,-0.003,-9.88,-0.005,-0.088,0.001,0.0,-0.079,1.767,-0.096,-6.228,-1.535,-0.047,-1.999,0.009,-0.099,-0.18,-9.388,0.002,-0.203,0.018,-0.146,-1.894,0.056,2.601,0.001,0.009,0.002,0.059,-0.09,-0.139,0.023,-5.92,-1.662,-0.037,0.465,0.042,0.012,0.043,-2.101,0.003,0.041,0.033,0.056,-0.074
